state,date,temperature,humidity,rain_mm,month,rainfall_prev,rain
Manipur,2025-10-03,24.7,75,1.2,10,21.3,1
Manipur,2025-10-04,24.5,75,1.1,10,1.2,1
Manipur,2025-10-05,24.5,75,0.9,10,1.1,1
Manipur,2025-10-06,24.3,75,0.4,10,0.9,1
Manipur,2025-10-07,24.3,75,8.4,10,0.4,1
Manipur,2025-10-08,23.7,75,4.1,10,8.4,1
Manipur,2025-10-09,23.4,75,5.6,10,4.1,1
Manipur,2025-10-10,23.7,75,5.7,10,5.6,1
Manipur,2025-10-11,22.9,75,4.1,10,5.7,1
Manipur,2025-10-12,22.6,75,10.7,10,4.1,1
Manipur,2025-10-13,23.2,75,0.4,10,10.7,1
Manipur,2025-10-14,23.6,75,0.6,10,0.4,1
Manipur,2025-10-15,23.7,75,1.4,10,0.6,1
Manipur,2025-10-16,23.4,75,1.4,10,1.4,1
Manipur,2025-10-17,23.6,75,0.2,10,1.4,0
Manipur,2025-10-18,23.5,75,0.2,10,0.2,0
Manipur,2025-10-19,23.5,75,0.0,10,0.2,0
Manipur,2025-10-20,23.5,75,0.0,10,0.0,0
Manipur,2025-10-21,23.5,75,0.0,10,0.0,0
Manipur,2025-10-22,23.8,75,0.0,10,0.0,0
Manipur,2025-10-23,23.4,75,0.0,10,0.0,0
Manipur,2025-10-24,23.2,75,0.2,10,0.0,0
Manipur,2025-10-25,23.0,75,1.0,10,0.2,1
Manipur,2025-10-26,22.9,75,0.0,10,1.0,0
Manipur,2025-10-27,23.3,75,0.0,10,0.0,0
Manipur,2025-10-28,23.5,75,1.4,10,0.0,1
Manipur,2025-10-29,23.8,75,0.0,10,1.4,0
Manipur,2025-10-30,24.0,75,0.4,10,0.0,1
Manipur,2025-10-31,24.1,75,0.6,10,0.4,1
Manipur,2025-11-01,23.1,75,5.9,11,0.6,1
Manipur,2025-11-02,23.7,75,1.2,11,5.9,1
Manipur,2025-11-03,22.9,75,1.1,11,1.2,1
Manipur,2025-11-04,22.2,75,9.6,11,1.1,1
Manipur,2025-11-05,21.7,75,14.8,11,9.6,1
Manipur,2025-11-06,21.9,75,1.2,11,14.8,1
Manipur,2025-11-07,22.2,75,0.1,11,1.2,0
Manipur,2025-11-08,21.5,75,0.0,11,0.1,0
Manipur,2025-11-09,21.8,75,0.0,11,0.0,0
Manipur,2025-11-10,21.1,75,0.0,11,0.0,0
Manipur,2025-11-11,20.1,75,0.0,11,0.0,0
Manipur,2025-11-12,19.3,75,0.0,11,0.0,0
Manipur,2025-11-13,19.3,75,0.0,11,0.0,0
Manipur,2025-11-14,18.7,75,0.0,11,0.0,0
Manipur,2025-11-15,18.6,75,0.0,11,0.0,0
Manipur,2025-11-16,18.0,75,0.0,11,0.0,0
Manipur,2025-11-17,17.8,75,0.0,11,0.0,0
Manipur,2025-11-18,18.4,75,0.0,11,0.0,0
Manipur,2025-11-19,19.4,75,0.0,11,0.0,0
Manipur,2025-11-20,19.7,75,0.0,11,0.0,0
Manipur,2025-11-21,19.4,75,0.7,11,0.0,1
Manipur,2025-11-22,18.6,75,0.0,11,0.7,0
Manipur,2025-11-23,17.3,75,0.0,11,0.0,0
Manipur,2025-11-24,16.7,75,0.0,11,0.0,0
Meghalaya,2025-09-01,21.1,75,1.7,9,0.0,1
Meghalaya,2025-09-02,20.6,75,3.5,9,1.7,1
Meghalaya,2025-09-03,20.0,75,9.8,9,3.5,1
Meghalaya,2025-09-04,19.7,75,10.3,9,9.8,1
Meghalaya,2025-09-05,19.9,75,2.1,9,10.3,1
Meghalaya,2025-09-06,20.0,75,7.5,9,2.1,1
Meghalaya,2025-09-07,19.9,75,2.8,9,7.5,1
Meghalaya,2025-09-08,19.8,75,3.6,9,2.8,1
Meghalaya,2025-09-09,19.7,75,3.2,9,3.6,1
Meghalaya,2025-09-10,20.0,75,1.8,9,3.2,1
Meghalaya,2025-09-11,19.9,75,2.9,9,1.8,1
Meghalaya,2025-09-12,19.7,75,3.8,9,2.9,1
Meghalaya,2025-09-13,19.5,75,2.4,9,3.8,1
Meghalaya,2025-09-14,18.5,75,51.4,9,2.4,1
Meghalaya,2025-09-15,18.8,75,1.8,9,51.4,1
Meghalaya,2025-09-16,18.5,75,1.6,9,1.8,1
Meghalaya,2025-09-17,18.9,75,25.0,9,1.6,1
Meghalaya,2025-09-18,19.2,75,1.5,9,25.0,1
Meghalaya,2025-09-19,19.4,75,6.8,9,1.5,1
Meghalaya,2025-09-20,19.5,75,3.7,9,6.8,1
Meghalaya,2025-09-21,19.9,75,8.0,9,3.7,1
Meghalaya,2025-09-22,20.0,75,3.0,9,8.0,1
Meghalaya,2025-09-23,20.4,75,1.6,9,3.0,1
Meghalaya,2025-09-24,20.0,75,2.6,9,1.6,1
Meghalaya,2025-09-25,20.8,75,2.4,9,2.6,1
Meghalaya,2025-09-26,21.3,75,0.3,9,2.4,1
Meghalaya,2025-09-27,20.0,75,3.2,9,0.3,1
Meghalaya,2025-09-28,19.8,75,1.9,9,3.2,1
Meghalaya,2025-09-29,19.8,75,3.4,9,1.9,1
Meghalaya,2025-09-30,20.2,75,2.2,9,3.4,1
Meghalaya,2025-10-01,18.9,75,0.2,10,2.2,0
Meghalaya,2025-10-02,17.6,75,13.6,10,0.2,1
Meghalaya,2025-10-03,18.0,75,1.6,10,13.6,1
Meghalaya,2025-10-04,18.8,75,0.5,10,1.6,1
Meghalaya,2025-10-05,18.4,75,5.8,10,0.5,1
Meghalaya,2025-10-06,18.1,75,3.6,10,5.8,1
Meghalaya,2025-10-07,18.0,75,2.4,10,3.6,1
Meghalaya,2025-10-08,18.0,75,3.8,10,2.4,1
Meghalaya,2025-10-09,17.8,75,5.9,10,3.8,1
Meghalaya,2025-10-10,18.1,75,12.9,10,5.9,1
Meghalaya,2025-10-11,17.3,75,4.5,10,12.9,1
Meghalaya,2025-10-12,17.9,75,4.8,10,4.5,1
Meghalaya,2025-10-13,18.0,75,1.1,10,4.8,1
Meghalaya,2025-10-14,18.3,75,0.1,10,1.1,0
Meghalaya,2025-10-15,18.3,75,0.4,10,0.1,1
Meghalaya,2025-10-16,17.8,75,0.5,10,0.4,1
Meghalaya,2025-10-17,17.9,75,0.5,10,0.5,1
Meghalaya,2025-10-18,17.7,75,0.0,10,0.5,0
Meghalaya,2025-10-19,17.0,75,0.6,10,0.0,1
Meghalaya,2025-10-20,17.2,75,0.1,10,0.6,0
Meghalaya,2025-10-21,17.8,75,0.3,10,0.1,1
Meghalaya,2025-10-22,17.7,75,0.9,10,0.3,1
Meghalaya,2025-10-23,17.4,75,0.5,10,0.9,1
Meghalaya,2025-10-24,16.8,75,0.1,10,0.5,0
Meghalaya,2025-10-25,16.3,75,0.2,10,0.1,0
Meghalaya,2025-10-26,17.0,75,0.0,10,0.2,0
Meghalaya,2025-10-27,16.7,75,0.3,10,0.0,1
Meghalaya,2025-10-28,17.1,75,0.1,10,0.3,0
Meghalaya,2025-10-29,17.7,75,0.5,10,0.1,1
Meghalaya,2025-10-30,17.8,75,4.9,10,0.5,1
Meghalaya,2025-10-31,17.2,75,7.9,10,4.9,1
Meghalaya,2025-11-01,16.5,75,27.3,11,7.9,1
Meghalaya,2025-11-02,17.1,75,1.6,11,27.3,1
Meghalaya,2025-11-03,16.8,75,0.1,11,1.6,0
Meghalaya,2025-11-04,17.6,75,0.5,11,0.1,1
Meghalaya,2025-11-05,17.6,75,4.2,11,0.5,1
Meghalaya,2025-11-06,17.3,75,0.3,11,4.2,1
Meghalaya,2025-11-07,15.7,75,0.1,11,0.3,0
Meghalaya,2025-11-08,16.2,75,0.9,11,0.1,1
Meghalaya,2025-11-09,14.4,75,0.0,11,0.9,0
Meghalaya,2025-11-10,14.1,75,0.0,11,0.0,0
Meghalaya,2025-11-11,14.3,75,0.0,11,0.0,0
Meghalaya,2025-11-12,14.5,75,0.0,11,0.0,0
Meghalaya,2025-11-13,14.6,75,0.0,11,0.0,0
Meghalaya,2025-11-14,13.7,75,0.0,11,0.0,0
Meghalaya,2025-11-15,13.8,75,0.0,11,0.0,0
Meghalaya,2025-11-16,13.0,75,0.0,11,0.0,0
Meghalaya,2025-11-17,13.2,75,0.0,11,0.0,0
Meghalaya,2025-11-18,13.0,75,0.0,11,0.0,0
Meghalaya,2025-11-19,13.0,75,0.0,11,0.0,0
Meghalaya,2025-11-20,12.0,75,0.0,11,0.0,0
Meghalaya,2025-11-21,12.0,75,0.0,11,0.0,0
Meghalaya,2025-11-22,11.9,75,0.1,11,0.0,0
Meghalaya,2025-11-23,11.5,75,0.0,11,0.1,0
Meghalaya,2025-11-24,12.5,75,0.0,11,0.0,0
Mizoram,2025-09-01,26.6,75,0.5,9,0.0,1
Mizoram,2025-09-02,25.7,75,0.9,9,0.5,1
Mizoram,2025-09-03,25.2,75,11.6,9,0.9,1
Mizoram,2025-09-04,24.5,75,12.0,9,11.6,1
Mizoram,2025-09-05,24.8,75,2.2,9,12.0,1
Mizoram,2025-09-06,24.7,75,10.4,9,2.2,1
Mizoram,2025-09-07,24.8,75,8.6,9,10.4,1
Mizoram,2025-09-08,25.1,75,2.8,9,8.6,1
Mizoram,2025-09-09,24.6,75,9.9,9,2.8,1
Mizoram,2025-09-10,24.3,75,15.0,9,9.9,1
Mizoram,2025-09-11,24.5,75,18.7,9,15.0,1
Mizoram,2025-09-12,24.7,75,12.2,9,18.7,1
Mizoram,2025-09-13,24.2,75,13.0,9,12.2,1
Mizoram,2025-09-14,23.2,75,14.8,9,13.0,1
Mizoram,2025-09-15,23.1,75,13.5,9,14.8,1
Mizoram,2025-09-16,24.1,75,2.6,9,13.5,1
Mizoram,2025-09-17,24.3,75,2.5,9,2.6,1
Mizoram,2025-09-18,24.5,75,2.7,9,2.5,1
Mizoram,2025-09-19,24.9,75,7.8,9,2.7,1
Mizoram,2025-09-20,25.1,75,6.3,9,7.8,1
Mizoram,2025-09-21,25.0,75,18.3,9,6.3,1
Mizoram,2025-09-22,24.3,75,21.9,9,18.3,1
Mizoram,2025-09-23,24.5,75,14.4,9,21.9,1
Mizoram,2025-09-24,24.9,75,8.1,9,14.4,1
Mizoram,2025-09-25,26.2,75,0.1,9,8.1,0
Mizoram,2025-09-26,25.8,75,1.9,9,0.1,1
Mizoram,2025-09-27,24.5,75,8.2,9,1.9,1
Mizoram,2025-09-28,24.4,75,9.1,9,8.2,1
Mizoram,2025-09-29,25.3,75,0.7,9,9.1,1
Mizoram,2025-09-30,25.5,75,8.8,9,0.7,1
Mizoram,2025-10-01,24.0,75,10.9,10,8.8,1
Mizoram,2025-10-02,23.6,75,19.7,10,10.9,1
Mizoram,2025-10-03,24.3,75,0.2,10,19.7,0
Mizoram,2025-10-04,24.8,75,2.8,10,0.2,1
Mizoram,2025-10-05,24.3,75,4.9,10,2.8,1
Mizoram,2025-10-06,23.3,75,1.3,10,4.9,1
Mizoram,2025-10-07,23.9,75,2.3,10,1.3,1
Mizoram,2025-10-08,23.2,75,13.3,10,2.3,1
Mizoram,2025-10-09,23.2,75,11.6,10,13.3,1
Mizoram,2025-10-10,23.2,75,19.2,10,11.6,1
Mizoram,2025-10-11,23.4,75,3.2,10,19.2,1
Mizoram,2025-10-12,23.4,75,3.1,10,3.2,1
Mizoram,2025-10-13,23.5,75,2.4,10,3.1,1
Mizoram,2025-10-14,23.8,75,1.1,10,2.4,1
Mizoram,2025-10-15,23.8,75,3.7,10,1.1,1
Mizoram,2025-10-16,23.5,75,3.2,10,3.7,1
Mizoram,2025-10-17,23.4,75,11.2,10,3.2,1
Mizoram,2025-10-18,23.2,75,10.6,10,11.2,1
Mizoram,2025-10-19,23.0,75,9.4,10,10.6,1
Mizoram,2025-10-20,23.8,75,2.7,10,9.4,1
Mizoram,2025-10-21,23.8,75,1.3,10,2.7,1
Mizoram,2025-10-22,24.4,75,0.0,10,1.3,0
Mizoram,2025-10-23,24.5,75,1.1,10,0.0,1
Mizoram,2025-10-24,23.3,75,0.6,10,1.1,1
Mizoram,2025-10-25,23.3,75,0.5,10,0.6,1
Mizoram,2025-10-26,23.7,75,0.1,10,0.5,0
Mizoram,2025-10-27,23.4,75,0.3,10,0.1,1
Mizoram,2025-10-28,23.8,75,3.2,10,0.3,1
Mizoram,2025-10-29,23.9,75,1.0,10,3.2,1
Mizoram,2025-10-30,24.2,75,1.4,10,1.0,1
Mizoram,2025-10-31,23.9,75,0.7,10,1.4,1
Mizoram,2025-11-01,23.6,75,3.5,11,0.7,1
Mizoram,2025-11-02,23.7,75,0.5,11,3.5,1
Mizoram,2025-11-03,23.1,75,4.3,11,0.5,1
Mizoram,2025-11-04,23.1,75,22.4,11,4.3,1
Mizoram,2025-11-05,22.7,75,21.8,11,22.4,1
Mizoram,2025-11-06,22.5,75,2.2,11,21.8,1
Mizoram,2025-11-07,23.3,75,0.0,11,2.2,0
Mizoram,2025-11-08,23.5,75,0.0,11,0.0,0
Mizoram,2025-11-09,23.0,75,0.1,11,0.0,0
Mizoram,2025-11-10,22.6,75,0.2,11,0.1,0
Mizoram,2025-11-11,20.4,75,0.0,11,0.2,0
Mizoram,2025-11-12,19.6,75,0.0,11,0.0,0
Mizoram,2025-11-13,20.1,75,0.0,11,0.0,0
Mizoram,2025-11-14,19.8,75,0.0,11,0.0,0
Mizoram,2025-11-15,19.4,75,0.0,11,0.0,0
Mizoram,2025-11-16,19.4,75,0.0,11,0.0,0
Mizoram,2025-11-17,20.1,75,0.0,11,0.0,0
Mizoram,2025-11-18,19.6,75,0.0,11,0.0,0
Mizoram,2025-11-19,20.3,75,0.0,11,0.0,0
Mizoram,2025-11-20,20.4,75,0.0,11,0.0,0
Mizoram,2025-11-21,19.2,75,0.1,11,0.0,0
Mizoram,2025-11-22,17.9,75,0.0,11,0.1,0
Mizoram,2025-11-23,17.6,75,0.0,11,0.0,0
Mizoram,2025-11-24,17.5,75,0.0,11,0.0,0
Nagaland,2025-09-01,21.9,75,10.8,9,0.0,1
Nagaland,2025-09-02,21.6,75,17.6,9,10.8,1
Nagaland,2025-09-03,22.0,75,11.5,9,17.6,1
Nagaland,2025-09-04,21.8,75,8.4,9,11.5,1
Nagaland,2025-09-05,21.1,75,6.1,9,8.4,1
Nagaland,2025-09-06,21.3,75,2.2,9,6.1,1
Nagaland,2025-09-07,20.9,75,3.0,9,2.2,1
Nagaland,2025-09-08,20.9,75,1.7,9,3.0,1
Nagaland,2025-09-09,20.9,75,1.2,9,1.7,1
Nagaland,2025-09-10,21.1,75,2.1,9,1.2,1
Nagaland,2025-09-11,21.2,75,11.7,9,2.1,1
Nagaland,2025-09-12,21.0,75,9.1,9,11.7,1
Nagaland,2025-09-13,20.8,75,8.8,9,9.1,1
Nagaland,2025-09-14,20.1,75,32.7,9,8.8,1
Nagaland,2025-09-15,19.8,75,13.1,9,32.7,1
